"","ID","block","risk","p.left","change","trial","prediction","outcome"
"1",10558,1,"low",0.85,NA,1,"left","left"
"2",10558,1,"low",0.85,NA,2,"right","right"
"3",10558,1,"low",0.85,NA,3,"right","left"
"4",10558,1,"low",0.85,NA,4,"right","left"
"5",10558,1,"low",0.85,NA,5,"left","left"
"6",10558,1,"low",0.85,NA,6,"left","right"
"7",10558,1,"low",0.85,NA,7,"right","left"
"8",10558,1,"low",0.85,NA,8,"left","left"
"9",10558,1,"low",0.85,NA,9,"left","right"
"10",10558,1,"low",0.85,NA,10,"right","left"
"11",10558,1,"low",0.85,NA,11,"right","left"
"12",10558,1,"low",0.85,NA,12,"left","left"
"13",10558,1,"low",0.85,NA,13,"left","left"
"14",10558,1,"low",0.85,NA,14,"left","left"
"15",10558,1,"low",0.85,NA,15,"left","left"
"16",10558,1,"low",0.85,NA,16,"left","left"
"17",10558,1,"low",0.85,NA,17,"left","right"
"18",10558,1,"low",0.85,NA,18,"right","left"
"19",10558,1,"low",0.85,NA,19,"right","left"
"20",10558,1,"low",0.85,NA,20,"left","right"
"21",10558,1,"high",0.4,NA,21,"right","left"
"22",10558,1,"high",0.4,NA,22,"right","right"
"23",10558,1,"high",0.4,NA,23,"right","right"
"24",10558,1,"high",0.4,NA,24,"right","left"
"25",10558,1,"high",0.4,NA,25,"right","right"
"26",10558,1,"high",0.4,NA,26,"left","left"
"27",10558,1,"high",0.4,NA,27,"right","left"
"28",10558,1,"high",0.4,NA,28,"left","right"
"29",10558,1,"high",0.4,NA,29,"left","right"
"30",10558,1,"high",0.4,NA,30,"left","left"
"31",10558,1,"high",0.4,NA,31,"right","right"
"32",10558,1,"high",0.4,NA,32,"right","right"
"33",10558,1,"high",0.4,NA,33,"right","left"
"34",10558,1,"high",0.4,NA,34,"left","right"
"35",10558,1,"high",0.4,NA,35,"right","left"
"36",10558,1,"high",0.4,NA,36,"right","right"
"37",10558,1,"high",0.4,NA,37,"right","left"
"38",10558,1,"high",0.4,NA,38,"right","right"
"39",10558,1,"high",0.4,NA,39,"left","left"
"40",10558,1,"high",0.4,NA,40,"left","left"
"41",10558,1,"high",0.4,NA,41,"right","right"
"42",10558,1,"high",0.4,NA,42,"right","right"
"43",10558,1,"high",0.4,NA,43,"left","right"
"44",10558,1,"high",0.4,NA,44,"right","right"
"45",10558,1,"high",0.6,NA,45,"right","right"
"46",10558,1,"high",0.6,NA,46,"right","right"
"47",10558,1,"high",0.6,NA,47,"right","left"
"48",10558,1,"high",0.6,NA,48,"left","left"
"49",10558,1,"high",0.6,NA,49,"left","left"
"50",10558,1,"high",0.6,NA,50,"right","right"
"51",10558,1,"high",0.6,NA,51,"right","left"
"52",10558,1,"high",0.6,NA,52,"left","left"
"53",10558,1,"high",0.6,NA,53,"right","left"
"54",10558,1,"high",0.6,NA,54,"right","right"
"55",10558,1,"high",0.6,NA,55,"right","left"
"56",10558,1,"high",0.6,NA,56,"right","right"
"57",10558,1,"high",0.6,NA,57,"right","left"
"58",10558,1,"high",0.6,NA,58,"left","right"
"59",10558,1,"high",0.6,NA,59,"left","left"
"60",10558,1,"high",0.6,NA,60,"right","right"
"61",10558,1,"high",0.6,NA,61,"right","left"
"62",10558,1,"high",0.6,NA,62,"right","right"
"63",10558,1,"high",0.6,NA,63,"right","right"
"64",10558,1,"high",0.6,NA,64,"right","right"
"65",10558,1,"low",0.15,NA,65,"right","right"
"66",10558,1,"low",0.15,NA,66,"right","right"
"67",10558,1,"low",0.15,NA,67,"right","left"
"68",10558,1,"low",0.15,NA,68,"left","right"
