instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,space,4.6435,space,7.6255,left,3.0374,2,1.3027,left,1.8544,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,140,1,stimuli/objects/wineglass01.jpg,right,new,284,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.6293,2,1.2217,right,1.2482,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,96,1,stimuli/objects/mallet01b.jpg,left,old,240,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.6758,3,1.5204,,,,,,,,0,2,2,82,1,stimuli/objects/shopvac.jpg,right,new,226,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.3462,4,1.3541,left,2.0337,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,3,3,70,1,stimuli/objects/shovel01.jpg,right,new,214,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.1726,4,0.3209,right,0.887,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,4,4,125,1,stimuli/objects/pliers02b.jpg,left,old,269,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.8514,4,1.972,left,4.5365,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,5,5,110,1,stimuli/objects/hockeygoaliepad.jpg,left,old,254,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.7533,4,0.4343,right,1.3535,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,6,6,42,1,stimuli/objects/tennisracket.jpg,right,new,186,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.9875,4,0.2342,left,0.503,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,7,7,20,1,stimuli/objects/bikehelmet.jpg,left,old,164,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.8524,2,0.4811,right,1.3743,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,8,8,52,1,stimuli/objects/antenna.jpg,left,old,196,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.1685,1,0.5338,,,,,,,,0,9,9,89,1,stimuli/objects/saladspinner.jpg,left,old,233,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.2645,2,0.8026,,,,,,,,0,10,10,35,1,stimuli/objects/stroller.jpg,right,new,179,,,,,,,,
