"PartNum","alpha","beta","BIC","LL"
1,0.284528453216923,0.33,542.317133069059,-265.901071162502
2,0.253732836847884,0.33,542.846392855478,-266.165701055711
3,0.209199925592321,0.1,538.465105465694,-263.975057360819
4,0.175966424176407,0.1,523.703253293927,-256.594131274936
5,0.193643289789893,0.1,532.997139099876,-261.24107417791
6,0.259698492571476,0.33,542.816575409874,-266.150792332909
7,0.163907988980958,0.1,517.053785002056,-253.269397129
8,0.229603124879135,0.1,541.160617500748,-265.322813378346
9,0.314822330713698,0.33,541.278393954867,-265.381701605406
10,0.21184521640026,0.1,466.711726805133,-228.098368030539
11,0.252628796356945,0.200481288755179,542.843941596627,-266.164475426286
11,0.252628610300408,0.200482947641013,542.843941596138,-266.164475426041
12,0.130052749026414,0.1,275.795202995908,-132.640106125926
12,0.130052749026414,0.1,275.795202995908,-132.640106125926
13,0.130052915642314,0.1,214.993056621894,-102.239032938919
13,0.130052910979513,0.1,214.993056621872,-102.239032938908
14,0.216723620137886,0.1,538.836924970505,-264.160967113225
14,0.216723618486811,0.1,538.836924970492,-264.160967113218
15,0.175046750478409,0.1,524.171793605565,-256.828401430755
15,0.175048558898354,0.1,524.171793616859,-256.828401436402
16,0.30172428982857,0.33,541.642130237324,-265.563569746634
16,0.301724950989654,0.33,541.642130237714,-265.563569746829
17,0.19046545808216,0.1,531.598017273422,-260.541513264683
17,0.190465459197732,0.1,531.598017273429,-260.541513264687
18,0.1,0.1,77.1902870885105,-33.3376481722275
18,0.1,0.1,77.1902870885105,-33.3376481722275
19,0.201169374836739,0.1,534.636718449438,-262.060863852691
19,0.201169214560969,0.1,534.636718448737,-262.060863852341
20,0.171901738999067,0.1,367.73276782071,-178.608888538327
20,0.171901733086723,0.1,367.732767820649,-178.608888538297
