"simC","fitC","simGamma","fitGamma","BIC"
NA,NA,NA,NA,NA
0.1,0.107477274464711,0.1,0.1,91.3309450192017
0.2,0.323968047461052,0.144444444444444,0.115330217210682,126.040577767539
0.3,0.300187945423846,0.188888888888889,0.127091656500486,124.563013270885
0.4,0.543896548498351,0.233333333333333,0.1,140.326248820481
0.5,0.1,0.277777777777778,0.49419799905098,143.58996492641
0.6,1,0.322222222222222,0.41052656227601,140.540696748853
0.7,0.633165007717546,0.366666666666667,0.286897005683778,141.615624459042
0.8,0.765305375410097,0.411111111111111,0.331806726000732,140.269091810505
0.9,0.238145089941099,0.455555555555556,0.5,143.599249411565
1,0.1,0.5,0.337696588276127,136.834732899106
0.1,0.135141564825606,0.1,0.1,90.4286256991798
0.2,0.515374407172203,0.144444444444444,0.5,143.599249411565
0.3,0.227279651297809,0.188888888888889,0.124503886795535,114.782778481775
0.4,0.438759154014015,0.233333333333333,0.204107162298743,142.622929917713
0.5,0.1,0.277777777777778,0.493551834547586,143.588927798493
0.6,0.1,0.322222222222222,0.5,143.599249411565
0.7,0.831772831524109,0.366666666666667,0.383420612891129,141.173795543879
0.8,0.1,0.411111111111111,0.5,143.599249411565
0.9,0.209989721188322,0.455555555555556,0.5,143.599249411565
1,1,0.5,0.5,143.599249411565
0.1,0.673608280019835,0.1,0.5,143.599249411565
0.2,0.569390645250678,0.144444444444444,0.5,143.599249411565
0.3,0.882011609151959,0.188888888888889,0.5,143.599249411565
0.4,0.135732888557979,0.233333333333333,0.392968218295131,141.203716154988
0.5,0.623138659855734,0.277777777777778,0.5,143.599249411565
0.6,0.556813090401762,0.322222222222222,0.1,141.227712067028
0.7,0.54169898053983,0.366666666666667,0.155588408180687,142.667404223553
0.8,0.416418123524636,0.411111111111111,0.5,143.599249411565
0.9,0.557471104470741,0.455555555555556,0.132031245264001,140.247753476788
1,0.372121637137395,0.5,0.20036738492545,138.592260893138
0.1,0.160125606710482,0.1,0.120325703041595,101.485773943779
0.2,0.206050669903782,0.144444444444444,0.1,105.984228370981
0.3,0.279203498027582,0.188888888888889,0.149499534925995,127.130344773364
0.4,1,0.233333333333333,0.5,143.599249411565
0.5,0.1548802339203,0.277777777777778,0.299953572844452,136.394950121589
0.6,1,0.322222222222222,0.431579136196028,141.814708010597
0.7,0.542036604243393,0.366666666666667,0.195051848251194,143.037408407035
0.8,0.1,0.411111111111111,0.481233849487647,143.508772278133
0.9,0.448466291440129,0.455555555555556,0.294156217235676,143.293978144421
1,1,0.5,0.5,143.599249411565
0.1,0.1,0.1,0.116714081072923,100.005673304798
0.2,0.198401221862538,0.144444444444444,0.10622924165403,111.190846172688
0.3,0.13152292573158,0.188888888888889,0.227848939657029,123.368019694007
0.4,0.320267341648664,0.233333333333333,0.209222997176842,137.701361711432
0.5,0.1,0.277777777777778,0.484571347549297,143.524915833678
0.6,0.63091637551006,0.322222222222222,0.245945040901929,141.411156038184
