"simC","fitC","simGamma","fitGamma","BIC"
NA,NA,NA,NA,NA
0.1,0.347998347540729,0.1,0.281951116884593,238.481121956782
0.2,0.1,0.125555555555556,0.245930440861266,233.790387076215
0.3,0.476621248942986,0.151111111111111,0.233737708616536,262.88328687804
0.4,0.528036754087031,0.176666666666667,0.18959899638081,280.519602219174
0.5,0.686006505921925,0.202222222222222,0.14570035563549,277.251326700403
0.6,0.723131948270735,0.227777777777778,0.286936895372346,287.608056945454
0.7,0.534313027944129,0.253333333333333,0.280282405554317,274.679473470938
0.8,0.813210147679404,0.278888888888889,0.193744345952291,283.901586327089
0.9,0.535844149813761,0.304444444444444,0.283779440862127,284.312975240941
1,0.515903115766234,0.33,0.137609402758535,290.697860914357
0.1,0.131296833940673,0.1,0.2927812766633,226.769760395823
0.2,0.309282180115729,0.125555555555556,0.25429508264875,235.80135785061
0.3,0.321043624284603,0.151111111111111,0.151205679911654,269.813228442096
0.4,0.588736583695809,0.176666666666667,0.145684852767736,280.156984600806
0.5,0.516600281450715,0.202222222222222,0.272131484232377,285.827432019896
0.6,0.661187413550199,0.227777777777778,0.225538094772492,293.475374217542
0.7,0.564425209906393,0.253333333333333,0.150188627911266,284.503224525281
0.8,0.530206535602308,0.278888888888889,0.225080450514797,287.781051850827
0.9,0.501557051893162,0.304444444444444,0.168516317305621,290.836325651622
1,0.542613688598186,0.33,0.177214380395599,288.29229859634
0.1,0.132502713870518,0.1,0.273361524441279,200.284673010405
0.2,0.295664348882949,0.125555555555556,0.23528650179971,235.132563595893
0.3,0.38775897956338,0.151111111111111,0.127115038682241,242.143433775416
0.4,0.616685005028209,0.176666666666667,0.144382793521509,284.835137468102
0.5,0.624369461695165,0.202222222222222,0.313666177098639,284.423834905494
0.6,0.613718022257027,0.227777777777778,0.240121908516157,278.022987167111
0.7,0.536593397252871,0.253333333333333,0.175367571292445,289.438571593167
0.8,0.688373633152187,0.278888888888889,0.261531376917847,293.357455347942
0.9,0.576402679196198,0.304444444444444,0.215120591123123,295.583131736036
1,0.498314354447226,0.33,0.17603506984422,289.023504318444
0.1,0.206357104090156,0.1,0.229438807519618,231.097567390244
0.2,0.126349998927682,0.125555555555556,0.32389032504987,219.950589597516
0.3,0.299485535328683,0.151111111111111,0.181926659222227,265.624651702563
0.4,0.49994271085267,0.176666666666667,0.303651013665367,274.837703530407
0.5,0.587303582903012,0.202222222222222,0.204824368709233,282.235921767262
0.6,0.57007341758677,0.227777777777778,0.244683255481068,286.172437664993
0.7,0.591445545399889,0.253333333333333,0.125588131009135,279.937936683247
0.8,0.549907460054008,0.278888888888889,0.184073959910311,293.454344278545
0.9,0.54809876628854,0.304444444444444,0.140389322487172,283.721533825876
1,0.676863748391276,0.33,0.241385488335509,291.948067327905
0.1,0.165494409445944,0.1,0.199854974057525,224.508501243319
0.2,0.36947865885115,0.125555555555556,0.188095694384538,255.019665558039
0.3,0.481613620596207,0.151111111111111,0.262352898779791,272.024405699206
0.4,0.510605535592506,0.176666666666667,0.210953847318888,280.501176917565
0.5,0.657491040019303,0.202222222222222,0.304999983629677,277.616120656001
0.6,0.600023435844549,0.227777777777778,0.277927526063286,277.731593705651
0.7,0.667706506691999,0.253333333333333,0.314181780673098,291.6657254841
0.8,0.5087719807423,0.278888888888889,0.289554804919753,280.699982924996
0.9,0.569466503707502,0.304444444444444,0.191964508593082,284.658922287302
1,0.536278554985207,0.33,0.220192145537585,290.758069228376
0.1,0.18827749960691,0.1,0.17233899889281,203.261040921406
0.2,0.3026889462895,0.125555555555556,0.136626358404756,246.938446654718
0.3,0.606864965664636,0.151111111111111,0.107640277163591,277.980099562603
0.4,0.439110265992232,0.176666666666667,0.135603147712536,265.629074616081
0.5,0.561769760089331,0.202222222222222,0.298742746945936,287.810245443944
0.6,0.557918080074368,0.227777777777778,0.113070087982342,289.154872324564
0.7,0.667061297643383,0.253333333333333,0.214872602110263,274.831363452502
0.8,0.628391864738984,0.278888888888889,0.260697128595784,289.680802833894
0.9,0.566519689164445,0.304444444444444,0.276437936509028,281.139371090217
1,0.381362069637866,0.33,0.162230821198318,280.565343323246
0.1,0.104918701986949,0.1,0.154636478624307,207.209408850746
0.2,0.355866569412908,0.125555555555556,0.152595929915551,251.820263170925
0.3,0.387128047422801,0.151111111111111,0.239167754470836,259.737169469208
0.4,0.568354156018755,0.176666666666667,0.316424570591189,279.034807734008
0.5,0.528169341587029,0.202222222222222,0.212962584348861,279.678733410527
0.6,0.548026349885458,0.227777777777778,0.201464032465592,273.468560986319
0.7,0.748460644409891,0.253333333333333,0.246230815544259,284.666618371036
0.8,0.659330030639432,0.278888888888889,0.329476927660871,277.797430247029
0.9,0.606334633952799,0.304444444444444,0.293127557339612,287.677405526811
1,0.484411594640248,0.33,0.327069760444574,285.01898431226
0.1,0.1,0.1,0.151141771608964,206.81786236814
0.2,0.314596277883319,0.125555555555556,0.17391141526401,251.623183906078
0.3,0.452622407359577,0.151111111111111,0.183035879323725,268.459041608435
0.4,0.506482492868449,0.176666666666667,0.179902111673728,275.704890381542
0.5,0.580830525480379,0.202222222222222,0.241198395325337,282.088927569273
0.6,0.602199472025563,0.227777777777778,0.219246434778906,277.563544135259
0.7,0.575452018247687,0.253333333333333,0.300980498085264,281.104612960232
0.8,0.555041578837027,0.278888888888889,0.315002934371587,280.735847455928
0.9,0.553433551486079,0.304444444444444,0.181748061657418,289.868782278739
1,0.539970865531773,0.33,0.16016160216881,284.795095361286
0.1,0.1,0.1,0.110606087842025,191.521039674567
0.2,0.161426727578905,0.125555555555556,0.326862061419524,237.869048954248
0.3,0.542517935100689,0.151111111111111,0.238410172399599,266.106920766443
0.4,0.447161580325348,0.176666666666667,0.199223500848748,261.767218926299
0.5,0.595084158456667,0.202222222222222,0.183912694731262,285.77828861573
0.6,0.594675343256604,0.227777777777778,0.261388269774616,282.278518946057
0.7,0.765139091181033,0.253333333333333,0.142358705548104,291.87830640167
0.8,0.673718188303855,0.278888888888889,0.262254996004049,282.472342449353
0.9,0.593683781547375,0.304444444444444,0.326970559644979,286.350823391643
1,0.547243807577809,0.33,0.260823882480618,288.211625144169
0.1,0.1,0.1,0.24326268224977,201.8606033957
0.2,0.292240844617925,0.125555555555556,0.167508985945024,240.966439288541
0.3,0.564541765989598,0.151111111111111,0.284217775897123,262.850794396908
0.4,0.427864435641931,0.176666666666667,0.298706813657191,267.498954917359
0.5,0.609062191418534,0.202222222222222,0.133389657768421,279.150649107316
0.6,0.556430381127264,0.227777777777778,0.203829387451988,282.94673420102
0.7,0.554709189319409,0.253333333333333,0.253823056560941,287.04536452703
0.8,0.695313412234023,0.278888888888889,0.262207531514578,292.157745343504
0.9,0.568285817498443,0.304444444444444,0.114229549784213,287.060769334902
1,0.1,0.33,0.228575906013139,284.858361194622
