"","SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
"15",1,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,1,1,1,0.518,15,1,2,2,0,"beforeCP",1,"swimgoggles.jpg",1,4,NA,0.817,NA
"16",1,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,1,1,1,0.913,16,1,2,4,0,"beforeCP",1,"adjustablewrench01b.jpg",NA,NA,NA,0.817,NA
"17",1,"m2",1,"Hand labour tool & accessory","Outdoor activity & sport item",0,0.666666666666667,0.666666666666667,0.5,1.119,17,2,2,6,0,"beforeCP",1,"patioumbrella.jpg",1,4,NA,0.897,NA
"18",1,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.75,0.75,0.666666666666667,0.738,18,3,2,9,0,"beforeCP",1,"baseball01a.jpg",1,3,"left",0.828,1
"19",1,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.8,0.8,0.75,0.978,19,4,2,10,0,"beforeCP",1,"bikehelmet.jpg",1,2,"left",1.065,1
"20",1,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.833333333333333,0.833333333333333,0.8,0.954,20,5,2,11,0,"beforeCP",1,"canoepaddle02.jpg",1,4,"left",0.819,1
"21",1,"m5",1,"Electronic device & accessory","Hand labour tool & accessory",0,0.714285714285714,0.714285714285714,0.5,0.583,21,2,2,12,0,"beforeCP",1,"leafrake.jpg",NA,NA,NA,0.817,NA
"22",1,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.75,0.75,0.666666666666667,1.262,22,3,2,13,0,"beforeCP",1,"lawnmower.jpg",NA,NA,NA,0.817,NA
"23",1,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.777777777777778,0.777777777777778,0.833333333333333,1.416,23,6,2,14,0,"beforeCP",1,"reflector.jpg",1,4,NA,0.859,NA
"24",1,"m5",3,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.8,0.8,0.75,1.069,24,4,2,17,0,"beforeCP",1,"pliers02b.jpg",1,2,NA,0.813,NA
"25",1,"m2",3,"Kitchen & utensil","Outdoor activity & sport item",0,0.727272727272727,0.727272727272727,0.714285714285714,1.099,25,7,2,19,0,"beforeCP",1,"boatmotor.jpg",1,3,NA,1.612,NA
"26",1,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.75,0.75,0.8,0.653,26,5,2,20,0,"beforeCP",1,"drillbit03a.jpg",NA,NA,NA,0.817,NA
"27",1,"m2",3,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.769230769230769,0.769230769230769,0.75,0.596,27,8,2,21,0,"beforeCP",1,"lifesaver.jpg",NA,NA,NA,0.817,NA
"28",1,"m5",1,"Electronic device & accessory","Hand labour tool & accessory",0,0.714285714285714,0.714285714285714,0.666666666666667,0.56,28,6,2,22,0,"beforeCP",1,"tape02a.jpg",NA,NA,NA,0.817,NA
"29",1,"m2",2,"Kitchen & utensil","Outdoor activity & sport item",0,0.666666666666667,0.666666666666667,0.666666666666667,0.838,29,9,2,23,0,"beforeCP",1,"ellipticalmachine.jpg",NA,NA,NA,0.817,NA
"30",1,"m5",3,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.6875,0.6875,0.714285714285714,0.606,30,7,2,24,0,"beforeCP",1,"wheelbarrow01.jpg",1,3,"right",0.964,1
"31",1,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.705882352941176,0.705882352941176,0.75,0.552,31,8,2,26,1,"beforeCP",1,"boltcutter.jpg",1,3,"left",0.911,0
"32",1,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.722222222222222,0.722222222222222,0.777777777777778,0.651,32,9,2,27,1,"beforeCP",1,"gluetube.jpg",NA,NA,NA,0.817,NA
"33",1,"m2",3,"Electronic device & accessory","Outdoor activity & sport item",0,0.684210526315789,0.684210526315789,0.6,0.758,33,10,2,28,1,"beforeCP",1,"volleyball.jpg",1,1,NA,2.104,NA
